"Site","Collector","Date","FinalPlantSp","BloomStatus","FlowerNum"
"L21","LCP/EK","6/22/14","Castilleja applegatei ssp. disticha","full bloom",3
"L21","KD","7/3/14","Castilleja applegatei ssp. disticha","full bloom",2
"L21","KC","7/13/14","Castilleja applegatei ssp. disticha","finishing bloom",2
"N131","CK","6/30/13","Castilleja applegatei ssp. disticha","full bloom",2
"N131","CRP","7/14/13","Castilleja applegatei ssp. disticha","full bloom",2
"N131","LCP","7/20/13","Castilleja applegatei ssp. disticha","full bloom",2
"N131","CRP","8/1/13","Castilleja applegatei ssp. disticha","finishing bloom",2
"N131","LCP","6/14/14","Castilleja applegatei ssp. disticha","beginning to bloom to bloom",1
"N131","KK","6/25/14","Castilleja applegatei ssp. disticha","full bloom",2
"N131","MV/KD","7/4/14","Castilleja applegatei ssp. disticha","full bloom",2
"N131","KK","7/14/14","Castilleja applegatei ssp. disticha","full bloom",2
"N135","GH","7/8/13","Castilleja applegatei ssp. disticha","full bloom",2
"N135","LCP","7/11/13","Castilleja applegatei ssp. disticha","full bloom",2
"N135","CRP","7/22/13","Castilleja applegatei ssp. disticha","finishing bloom",1
"N135","LCP","7/25/13","Castilleja applegatei ssp. disticha","finishing bloom",1
"N135","LTC","6/18/14","Castilleja applegatei ssp. disticha","not blooming",0
"N135","KK","7/6/14","Castilleja applegatei ssp. disticha","full bloom",2
"N135","LCP","7/9/14","Castilleja applegatei ssp. disticha","finishing bloom",1
"N135","LCP","7/19/14","Castilleja applegatei ssp. disticha","not blooming",0
"P310","LCP","6/29/13","Castilleja applegatei ssp. disticha","full bloom",2
"P310","BES","7/13/13","Castilleja applegatei ssp. disticha","full bloom",2
"P310","CRP","7/17/13","Castilleja applegatei ssp. disticha","full bloom",2
"P310","GH","7/31/13","Castilleja applegatei ssp. disticha","finishing bloom",1
"P310","LCP","6/12/14","Castilleja applegatei ssp. disticha","not blooming",0
"P310","LCP","6/24/14","Castilleja applegatei ssp. disticha","not blooming",0
"P310","KK","7/1/14","Castilleja applegatei ssp. disticha","not blooming",0
"P310","CV","7/13/14","Castilleja applegatei ssp. disticha","not blooming",0
"L21","LCP","6/26/13","Ceanothus cordulatus","full bloom",2
"L21","LKM","7/13/13","Ceanothus cordulatus","not blooming",0
"L21","LCP","7/17/13","Ceanothus cordulatus","not blooming",0
"L21","LCP","7/30/13","Ceanothus cordulatus","not blooming",0
"L21","LKM","6/12/14","Ceanothus cordulatus","full bloom",5
"L21","LCP/EK","6/22/14","Ceanothus cordulatus","finishing bloom",4
"L21","KD","7/3/14","Ceanothus cordulatus","finishing bloom",4
"L21","KC","7/13/14","Ceanothus cordulatus","not blooming",0
"L24","LKM","6/13/14","Ceanothus cordulatus","full bloom",3
"L24","LCP/EK","6/23/14","Ceanothus cordulatus","not blooming",0
"L24","MV/KD","7/2/14","Ceanothus cordulatus","not blooming",0
"L24","LTC","7/13/14","Ceanothus cordulatus","not blooming",0
"N131","CK","6/30/13","Ceanothus cordulatus","finishing bloom",3
"N131","CRP","7/14/13","Ceanothus cordulatus","not blooming",0
"N131","LCP","7/20/13","Ceanothus cordulatus","not blooming",0
"N131","CRP","8/1/13","Ceanothus cordulatus","not blooming",0
"N131","LCP","6/14/14","Ceanothus cordulatus","full bloom",5
"N131","KK","6/25/14","Ceanothus cordulatus","full bloom",4
"N131","MV/KD","7/4/14","Ceanothus cordulatus","finishing bloom",5
"N131","KK","7/14/14","Ceanothus cordulatus","finishing bloom",2
"N133","CRP","7/8/13","Ceanothus cordulatus","not blooming",0
"N133","GH","7/11/13","Ceanothus cordulatus","not blooming",0
"N133","LCP","7/23/13","Ceanothus cordulatus","not blooming",0
"N133","GH","7/25/13","Ceanothus cordulatus","not blooming",0
"N133","LCP/KAK","6/18/14","Ceanothus cordulatus","finishing bloom",5
"N133","KK","7/7/14","Ceanothus cordulatus","finishing bloom",3
"N133","LCP","7/10/14","Ceanothus cordulatus","finishing bloom",1
"N133","LTC","7/18/14","Ceanothus cordulatus","not blooming",4
"N134","JPS","6/17/14","Ceanothus cordulatus","full bloom",4
"N134","LCP","7/6/14","Ceanothus cordulatus","not blooming",0
"N134","KK","7/9/14","Ceanothus cordulatus","not blooming",0
"N134","LCP","7/17/14","Ceanothus cordulatus","not blooming",0
"N135","LTC","6/18/14","Ceanothus cordulatus","full bloom",2
"N135","KK","7/6/14","Ceanothus cordulatus","not blooming",0
"N135","LCP","7/9/14","Ceanothus cordulatus","not blooming",0
"N135","LCP","7/19/14","Ceanothus cordulatus","not blooming",0
"N137","CRP","7/9/13","Ceanothus cordulatus","not blooming",0
"N137","GH","7/12/13","Ceanothus cordulatus","not blooming",0
"N137","LCP","7/24/13","Ceanothus cordulatus","not blooming",0
"N137","CRP","7/26/13","Ceanothus cordulatus","not blooming",0
"N137","LCP/KAK","6/19/14","Ceanothus cordulatus","finishing bloom",2
"N137","LTC","7/7/14","Ceanothus cordulatus","finishing bloom",2
"N137","LTC","7/10/14","Ceanothus cordulatus","not blooming",0
"N137","LTC","7/19/14","Ceanothus cordulatus","not blooming",0
"P310","LCP","6/29/13","Ceanothus cordulatus","finishing bloom",2
"P310","BES","7/13/13","Ceanothus cordulatus","not blooming",0
"P310","CRP","7/17/13","Ceanothus cordulatus","not blooming",0
"P310","GH","7/31/13","Ceanothus cordulatus","not blooming",0
"P310","LCP","6/12/14","Ceanothus cordulatus","full bloom",4
"P310","LCP","6/24/14","Ceanothus cordulatus","finishing bloom",3
"P310","KK","7/1/14","Ceanothus cordulatus","finishing bloom",5
"P310","CV","7/13/14","Ceanothus cordulatus","finishing bloom",3
"P33","CRP","6/27/13","Ceanothus cordulatus","finishing bloom",3
"P33","RW","7/13/13","Ceanothus cordulatus","finishing bloom",2
"P33","GH","7/18/13","Ceanothus cordulatus","not blooming",0
"P33","CRP","7/29/13","Ceanothus cordulatus","not blooming",0
"P33","AJR","6/12/14","Ceanothus cordulatus","full bloom",5
"P33","LTC","6/22/14","Ceanothus cordulatus","finishing bloom",3
"P33","LCP","7/2/14","Ceanothus cordulatus","finishing bloom",2
"P33","LMH","7/13/14","Ceanothus cordulatus","finishing bloom",1
"P37","CRP","6/28/13","Ceanothus cordulatus","not blooming",0
"P37","LCP","7/13/13","Ceanothus cordulatus","not blooming",0
"P37","GH","7/19/13","Ceanothus cordulatus","not blooming",0
"P37","GH","7/30/13","Ceanothus cordulatus","not blooming",0
"P37","JPS/LTC","6/13/14","Ceanothus cordulatus","not blooming",0
"P37","KK","6/24/14","Ceanothus cordulatus","finishing bloom",3
"P37","LCP","7/1/14","Ceanothus cordulatus","finishing bloom",2
"P37","LKM","7/13/14","Ceanothus cordulatus","not blooming",0
"W04","CRP","6/30/13","Ceanothus cordulatus","not blooming",0
"W04","LCP","7/14/13","Ceanothus cordulatus","not blooming",0
"W04","GH","7/20/13","Ceanothus cordulatus","not blooming",0
"W04","GH","8/1/13","Ceanothus cordulatus","not blooming",0
"W04","JPS/LTC","6/14/14","Ceanothus cordulatus","full bloom",4
"W04","LCP","6/25/14","Ceanothus cordulatus","finishing bloom",2
"W04","LCP","7/4/14","Ceanothus cordulatus","finishing bloom",2
"W04","LTC","7/14/14","Ceanothus cordulatus","finishing bloom",5
"L21","LCP","6/26/13","Chaenactis douglasii var. douglasii","full bloom",1
"L21","LCP","7/13/13","Chaenactis douglasii var. douglasii","full bloom",1
"L21","LKM","7/17/13","Chaenactis douglasii var. douglasii","full bloom",1
"L21","LCP","7/30/13","Chaenactis douglasii var. douglasii","finishing bloom",1
"L21","LKM","6/12/14","Chaenactis douglasii var. douglasii","not blooming",0
"L21","LCP/EK","6/22/14","Chaenactis douglasii var. douglasii","beginning to bloom to bloom",2
"L21","KD","7/3/14","Chaenactis douglasii var. douglasii","not blooming",0
"L21","KC","7/13/14","Chaenactis douglasii var. douglasii","finishing bloom",1
"L33","CRP","6/29/13","Chaenactis douglasii var. douglasii","full bloom",2
"L33","GH","7/13/13","Chaenactis douglasii var. douglasii","finishing bloom",1
"L33","LCP","7/19/13","Chaenactis douglasii var. douglasii","finishing bloom",1
"L33","CRP","7/31/13","Chaenactis douglasii var. douglasii","not blooming",0
"L33","AJR","6/13/14","Chaenactis douglasii var. douglasii","not blooming",0
"L33","LTC","6/23/14","Chaenactis douglasii var. douglasii","not blooming",0
"L33","KK","7/3/14","Chaenactis douglasii var. douglasii","full bloom",2
"L33","KK","7/13/14","Chaenactis douglasii var. douglasii","finishing bloom",2
"N131","LCP","6/14/14","Chaenactis douglasii var. douglasii","beginning to bloom to bloom",2
"N131","KK","6/25/14","Chaenactis douglasii var. douglasii","not blooming",0
"N131","MV/KD","7/4/14","Chaenactis douglasii var. douglasii","not blooming",0
"N131","KK","7/14/14","Chaenactis douglasii var. douglasii","not blooming",0
"P24","CC","6/27/13","Chaenactis douglasii var. douglasii","full bloom",2
"P24","CRP","7/13/13","Chaenactis douglasii var. douglasii","finishing bloom",2
"P24","CRP","7/19/13","Chaenactis douglasii var. douglasii","finishing bloom",2
"P24","GH","7/29/13","Chaenactis douglasii var. douglasii","not blooming",0
"P24","JPS","6/12/14","Chaenactis douglasii var. douglasii","not blooming",0
"P24","KK","6/23/14","Chaenactis douglasii var. douglasii","beginning to bloom to bloom",1
"P24","KK","7/2/14","Chaenactis douglasii var. douglasii","finishing bloom",1
"P24","MRM","7/13/14","Chaenactis douglasii var. douglasii","not blooming",0
"P37","CRP","6/28/13","Chaenactis douglasii var. douglasii","full bloom",1
"P37","LCP","7/13/13","Chaenactis douglasii var. douglasii","full bloom",1
"P37","GH","7/19/13","Chaenactis douglasii var. douglasii","finishing bloom",1
"P37","GH","7/30/13","Chaenactis douglasii var. douglasii","not blooming",0
"P37","JPS/LTC","6/13/14","Chaenactis douglasii var. douglasii","not blooming",0
"P37","KK","6/24/14","Chaenactis douglasii var. douglasii","full bloom",3
"P37","LCP","7/1/14","Chaenactis douglasii var. douglasii","full bloom",1
"P37","LKM","7/13/14","Chaenactis douglasii var. douglasii","not blooming",0
"L21","LCP","6/26/13","Cirsium andersonii","not blooming",0
"L21","LKM","7/13/13","Cirsium andersonii","beginning to bloom",1
"L21","LCP","7/17/13","Cirsium andersonii","beginning to bloom",2
"L21","LCP","7/30/13","Cirsium andersonii","finishing bloom",2
"L21","LKM","6/12/14","Cirsium andersonii","not blooming",0
"L21","LCP/EK","6/22/14","Cirsium andersonii","not blooming",0
"L21","KD","7/3/14","Cirsium andersonii","full bloom",2
"L21","KC","7/13/14","Cirsium andersonii","full bloom",2
"L35","LCP","6/27/13","Cirsium andersonii","not blooming",0
"L35","SH","7/13/13","Cirsium andersonii","not blooming",0
"L35","CRP","7/18/13","Cirsium andersonii","beginning to bloom",1
"L35","LCP","7/29/13","Cirsium andersonii","not blooming",0
"L35","LTC","6/12/14","Cirsium andersonii","not blooming",0
"L35","KK","6/22/14","Cirsium andersonii","not blooming",0
"L35","MV","7/3/14","Cirsium andersonii","beginning to bloom to bloom",1
"L35","LCP","7/13/14","Cirsium andersonii","full bloom",1
"P24","JPS","6/12/14","Cirsium andersonii","not blooming",0
"P24","KK","6/23/14","Cirsium andersonii","not blooming",0
"P24","KK","7/2/14","Cirsium andersonii","not blooming",0
"P24","MRM","7/13/14","Cirsium andersonii","beginning to bloom to bloom",1
"P33","CRP","6/27/13","Cirsium andersonii","not blooming",0
"P33","RW","7/13/13","Cirsium andersonii","beginning to bloom",1
"P33","GH","7/18/13","Cirsium andersonii","beginning to bloom",1
"P33","CRP","7/29/13","Cirsium andersonii","full bloom",2
"P33","AJR","6/12/14","Cirsium andersonii","not blooming",0
"P33","LTC","6/22/14","Cirsium andersonii","not blooming",0
"P33","LCP","7/2/14","Cirsium andersonii","not blooming",0
"P33","LMH","7/13/14","Cirsium andersonii","beginning to bloom to bloom",1
"L21","LKM","6/12/14","Collinsia torreyi var. torreyi","full bloom",2
"L21","LCP/EK","6/22/14","Collinsia torreyi var. torreyi","finishing bloom",1
"L21","KD","7/3/14","Collinsia torreyi var. torreyi","not blooming",0
"L21","KC","7/13/14","Collinsia torreyi var. torreyi","not blooming",0
"L24","LKM","6/27/13","Collinsia torreyi var. torreyi","full bloom",1
"L24","SB","7/13/13","Collinsia torreyi var. torreyi","not blooming",0
"L24","LCP","7/18/13","Collinsia torreyi var. torreyi","not blooming",0
"L24","LCP","7/31/13","Collinsia torreyi var. torreyi","not blooming",0
"L24","LKM","6/13/14","Collinsia torreyi var. torreyi","full bloom",2
"L24","LCP/EK","6/23/14","Collinsia torreyi var. torreyi","not blooming",0
"L24","MV/KD","7/2/14","Collinsia torreyi var. torreyi","not blooming",0
"L24","LTC","7/13/14","Collinsia torreyi var. torreyi","finishing bloom",1
"L33","AJR","6/13/14","Collinsia torreyi var. torreyi","full bloom",1
"L33","LTC","6/23/14","Collinsia torreyi var. torreyi","not blooming",0
"L33","KK","7/3/14","Collinsia torreyi var. torreyi","not blooming",0
"L33","KK","7/13/14","Collinsia torreyi var. torreyi","not blooming",0
"N137","CRP","7/9/13","Collinsia torreyi var. torreyi","finishing bloom",4
"N137","GH","7/12/13","Collinsia torreyi var. torreyi","finishing bloom",4
"N137","LCP","7/24/13","Collinsia torreyi var. torreyi","finishing bloom",1
"N137","CRP","7/26/13","Collinsia torreyi var. torreyi","not blooming",0
"N137","LCP/KAK","6/19/14","Collinsia torreyi var. torreyi","full bloom",1
"N137","LTC","7/7/14","Collinsia torreyi var. torreyi","full bloom",1
"N137","LTC","7/10/14","Collinsia torreyi var. torreyi","finishing bloom",0
"N137","LTC","7/19/14","Collinsia torreyi var. torreyi","not blooming",0
"N139","JPS","6/18/14","Collinsia torreyi var. torreyi","full bloom",3
"N139","LTC","7/6/14","Collinsia torreyi var. torreyi","not blooming",0
"N139","LTC","7/9/14","Collinsia torreyi var. torreyi","not blooming",0
"N139","LCP","7/18/14","Collinsia torreyi var. torreyi","not blooming",0
"P24","CC","6/27/13","Collinsia torreyi var. torreyi","finishing bloom",1
"P24","CRP","7/13/13","Collinsia torreyi var. torreyi","not blooming",0
"P24","CRP","7/19/13","Collinsia torreyi var. torreyi","not blooming",0
"P24","GH","7/29/13","Collinsia torreyi var. torreyi","not blooming",0
"P24","JPS","6/12/14","Collinsia torreyi var. torreyi","not blooming",0
"P24","KK","6/23/14","Collinsia torreyi var. torreyi","full bloom",3
"P24","KK","7/2/14","Collinsia torreyi var. torreyi","not blooming",0
"P24","MRM","7/13/14","Collinsia torreyi var. torreyi","not blooming",0
"L21","LCP","6/26/13","Collomia grandiflora","beginning to bloom",1
"L21","LKM","7/13/13","Collomia grandiflora","full bloom",2
"L21","LCP","7/17/13","Collomia grandiflora","finishing bloom",2
"L21","LCP","7/30/13","Collomia grandiflora","finishing bloom",1
"L21","LKM","6/12/14","Collomia grandiflora","not blooming",0
"L21","LCP/EK","6/22/14","Collomia grandiflora","not blooming",0
"L21","KD","7/3/14","Collomia grandiflora","not blooming",0
"L21","KC","7/13/14","Collomia grandiflora","full bloom",2
"L24","LKM","6/27/13","Collomia grandiflora","not blooming",0
"L24","SB","7/13/13","Collomia grandiflora","full bloom",1
"L24","LCP","7/18/13","Collomia grandiflora","finishing bloom",1
"L24","LCP","7/31/13","Collomia grandiflora","finishing bloom",1
"L24","LKM","6/13/14","Collomia grandiflora","not blooming",0
"L24","LCP/EK","6/23/14","Collomia grandiflora","not blooming",0
"L24","MV/KD","7/2/14","Collomia grandiflora","finishing bloom",1
"L24","LTC","7/13/14","Collomia grandiflora","not blooming",0
"L35","LTC","6/12/14","Collomia grandiflora","not blooming",0
"L35","KK","6/22/14","Collomia grandiflora","not blooming",0
"L35","MV","7/3/14","Collomia grandiflora","full bloom",1
"L35","LCP","7/13/14","Collomia grandiflora","not blooming",0
"N137","CRP","7/9/13","Cymopterus terebinthinus","full bloom",4
"N137","GH","7/12/13","Cymopterus terebinthinus","full bloom",4
"N137","LCP","7/24/13","Cymopterus terebinthinus","finishing bloom",2
"N137","CRP","7/26/13","Cymopterus terebinthinus","finishing bloom",2
"N137","LCP/KAK","6/19/14","Cymopterus terebinthinus","beginning to bloom to bloom",2
"N137","LTC","7/7/14","Cymopterus terebinthinus","full bloom",3
"N137","LTC","7/10/14","Cymopterus terebinthinus","full bloom",3
"N137","LTC","7/19/14","Cymopterus terebinthinus","full bloom",3
"L21","LCP","6/26/13","Delphinium sp.","full bloom",1
"L21","LKM","7/13/13","Delphinium sp.","not blooming",0
"L21","LCP","7/17/13","Delphinium sp.","not blooming",0
"L21","LCP","7/30/13","Delphinium sp.","not blooming",0
"L21","LKM","6/12/14","Delphinium sp.","full bloom",2
"L21","LCP/EK","6/22/14","Delphinium sp.","full bloom",2
"L21","KD","7/3/14","Delphinium sp.","finishing bloom",1
"L21","KC","7/13/14","Delphinium sp.","not blooming",0
"L24","LKM","6/13/14","Delphinium sp.","full bloom",2
"L24","LCP/EK","6/23/14","Delphinium sp.","not blooming",0
"L24","MV/KD","7/2/14","Delphinium sp.","not blooming",0
"L24","LTC","7/13/14","Delphinium sp.","not blooming",0
"L35","LCP","6/27/13","Delphinium sp.","full bloom",1
"L35","SH","7/13/13","Delphinium sp.","not blooming",0
"L35","CRP","7/18/13","Delphinium sp.","not blooming",0
"L35","LCP","7/29/13","Delphinium sp.","not blooming",0
"L35","LTC","6/12/14","Delphinium sp.","full bloom",1
"L35","KK","6/22/14","Delphinium sp.","full bloom",2
"L35","MV","7/3/14","Delphinium sp.","finishing bloom",1
"L35","LCP","7/13/14","Delphinium sp.","not blooming",0
"L24","LKM","6/27/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",1
"L24","SB","7/13/13","Epilobium angustifloium ssp. circumvagum","full bloom",1
"L24","LCP","7/18/13","Epilobium angustifloium ssp. circumvagum","full bloom",1
"L24","LCP","7/31/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",1
"L24","LKM","6/13/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L24","LCP/EK","6/23/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L24","MV/KD","7/2/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L24","LTC","7/13/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L35","LCP","6/27/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L35","SH","7/13/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",2
"L35","CRP","7/18/13","Epilobium angustifloium ssp. circumvagum","full bloom",2
"L35","LCP","7/29/13","Epilobium angustifloium ssp. circumvagum","full bloom",2
"L35","LTC","6/12/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L35","KK","6/22/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L35","MV","7/3/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"L35","LCP","7/13/14","Epilobium angustifloium ssp. circumvagum","beginning to bloom to bloom",1
"N134","LCP","7/8/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",3
"N134","CRP","7/11/13","Epilobium angustifloium ssp. circumvagum","full bloom",3
"N134","GH","7/22/13","Epilobium angustifloium ssp. circumvagum","full bloom",3
"N134","CRP","7/25/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",3
"N134","JPS","6/17/14","Epilobium angustifloium ssp. circumvagum","not blooming",3
"N134","LCP","7/6/14","Epilobium angustifloium ssp. circumvagum","full bloom",3
"N134","KK","7/9/14","Epilobium angustifloium ssp. circumvagum","full bloom",4
"N134","LCP","7/17/14","Epilobium angustifloium ssp. circumvagum","full bloom",4
"N136","GH","7/9/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",1
"N136","LCP","7/12/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",1
"N136","CRP","7/24/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",2
"N136","LCP","7/26/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",1
"N136","LTC","6/17/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N136","LCP","7/7/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N136","KK","7/10/14","Epilobium angustifloium ssp. circumvagum","finishing bloom",2
"N136","LTC","7/17/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","CRP","7/9/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","GH","7/12/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","LCP","7/24/13","Epilobium angustifloium ssp. circumvagum","full bloom",2
"N137","CRP","7/26/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",2
"N137","LCP/KAK","6/19/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","LTC","7/7/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","LTC","7/10/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"N137","LTC","7/19/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","CRP","6/27/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","RW","7/13/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","GH","7/18/13","Epilobium angustifloium ssp. circumvagum","full bloom",1
"P33","CRP","7/29/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",1
"P33","AJR","6/12/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","LTC","6/22/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","LCP","7/2/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P33","LMH","7/13/14","Epilobium angustifloium ssp. circumvagum","full bloom",1
"P37","CRP","6/28/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P37","LCP","7/13/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",1
"P37","GH","7/19/13","Epilobium angustifloium ssp. circumvagum","full bloom",1
"P37","GH","7/30/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",1
"P37","JPS/LTC","6/13/14","Epilobium angustifloium ssp. circumvagum","full bloom",3
"P37","KK","6/24/14","Epilobium angustifloium ssp. circumvagum","full bloom",2
"P37","LCP","7/1/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"P37","LKM","7/13/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"W04","CRP","6/30/13","Epilobium angustifloium ssp. circumvagum","not blooming",0
"W04","LCP","7/14/13","Epilobium angustifloium ssp. circumvagum","beginning to bloom",1
"W04","GH","7/20/13","Epilobium angustifloium ssp. circumvagum","full bloom",1
"W04","GH","8/1/13","Epilobium angustifloium ssp. circumvagum","finishing bloom",1
"W04","JPS/LTC","6/14/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"W04","LCP","6/25/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"W04","LCP","7/4/14","Epilobium angustifloium ssp. circumvagum","not blooming",0
"W04","LTC","7/14/14","Epilobium angustifloium ssp. circumvagum","full bloom",2
"N136","GH","7/9/13","Epilobium ciliatum ssp. glandulosum","full bloom",3
"N136","LCP","7/12/13","Epilobium ciliatum ssp. glandulosum","full bloom",3
"N136","CRP","7/24/13","Epilobium ciliatum ssp. glandulosum","full bloom",3
"N136","LCP","7/26/13","Epilobium ciliatum ssp. glandulosum","full bloom",3
"N136","LTC","6/17/14","Epilobium ciliatum ssp. glandulosum","not blooming",0
"N136","LCP","7/7/14","Epilobium ciliatum ssp. glandulosum","beginning to bloom to bloom",1
"N136","KK","7/10/14","Epilobium ciliatum ssp. glandulosum","full bloom",3
"N136","LTC","7/17/14","Epilobium ciliatum ssp. glandulosum","not blooming",0
"N135","GH","7/8/13","Ericameria bloomeri","not blooming",0
"N135","LCP","7/11/13","Ericameria bloomeri","not blooming",0
"N135","CRP","7/22/13","Ericameria bloomeri","not blooming",0
"N135","LCP","7/25/13","Ericameria bloomeri","beginning to bloom",1
"N135","LTC","6/18/14","Ericameria bloomeri","not blooming",0
"N135","KK","7/6/14","Ericameria bloomeri","not blooming",0
"N135","LCP","7/9/14","Ericameria bloomeri","not blooming",0
"N135","LCP","7/19/14","Ericameria bloomeri","not blooming",0
"P33","CRP","6/27/13","Ericameria bloomeri","not blooming",0
"P33","RW","7/13/13","Ericameria bloomeri","not blooming",0
"P33","GH","7/18/13","Ericameria bloomeri","not blooming",0
"P33","CRP","7/29/13","Ericameria bloomeri","full bloom",3
"P33","AJR","6/12/14","Ericameria bloomeri","not blooming",0
"P33","LTC","6/22/14","Ericameria bloomeri","not blooming",0
"P33","LCP","7/2/14","Ericameria bloomeri","not blooming",0
"P33","LMH","7/13/14","Ericameria bloomeri","not blooming",0
"L21","LCP","6/26/13","Erigeron brewerii var. brewerii","beginning to bloom",2
"L21","LKM","7/13/13","Erigeron brewerii var. brewerii","full bloom",3
"L21","LCP","7/17/13","Erigeron brewerii var. brewerii","full bloom",2
"L21","LCP","7/30/13","Erigeron brewerii var. brewerii","finishing bloom",1
"L21","LKM","6/12/14","Erigeron brewerii var. brewerii","not blooming",0
"L21","LCP/EK","6/22/14","Erigeron brewerii var. brewerii","not blooming",0
"L21","KD","7/3/14","Erigeron brewerii var. brewerii","finishing bloom",1
"L21","KC","7/13/14","Erigeron brewerii var. brewerii","full bloom",1
"L24","LKM","6/27/13","Erigeron brewerii var. brewerii","beginning to bloom",1
"L24","SB","7/13/13","Erigeron brewerii var. brewerii","full bloom",2
"L24","LCP","7/18/13","Erigeron brewerii var. brewerii","full bloom",2
"L24","LCP","7/31/13","Erigeron brewerii var. brewerii","finishing bloom",2
"L24","LKM","6/13/14","Erigeron brewerii var. brewerii","not blooming",0
"L24","LCP/EK","6/23/14","Erigeron brewerii var. brewerii","not blooming",0
"L24","MV/KD","7/2/14","Erigeron brewerii var. brewerii","not blooming",0
"L24","LTC","7/13/14","Erigeron brewerii var. brewerii","full bloom",2
"L33","CRP","6/29/13","Erigeron brewerii var. brewerii","full bloom",2
"L33","GH","7/13/13","Erigeron brewerii var. brewerii","finishing bloom",2
"L33","LCP","7/19/13","Erigeron brewerii var. brewerii","finishing bloom",2
"L33","CRP","7/31/13","Erigeron brewerii var. brewerii","not blooming",0
"L33","AJR","6/13/14","Erigeron brewerii var. brewerii","not blooming",0
"L33","LTC","6/23/14","Erigeron brewerii var. brewerii","not blooming",0
"L33","KK","7/3/14","Erigeron brewerii var. brewerii","not blooming",0
"L33","KK","7/13/14","Erigeron brewerii var. brewerii","finishing bloom",2
"L35","LCP","6/27/13","Erigeron brewerii var. brewerii","beginning to bloom",1
"L35","SH","7/13/13","Erigeron brewerii var. brewerii","full bloom",2
"L35","CRP","7/18/13","Erigeron brewerii var. brewerii","full bloom",2
"L35","LCP","7/29/13","Erigeron brewerii var. brewerii","full bloom",2
"L35","LTC","6/12/14","Erigeron brewerii var. brewerii","not blooming",0
"L35","KK","6/22/14","Erigeron brewerii var. brewerii","not blooming",0
"L35","MV","7/3/14","Erigeron brewerii var. brewerii","not blooming",0
"L35","LCP","7/13/14","Erigeron brewerii var. brewerii","not blooming",0
"N132","LCP","6/30/13","Erigeron brewerii var. brewerii","full bloom",2
"N132","GH","7/14/13","Erigeron brewerii var. brewerii","finishing bloom",2
"N132","CRP","7/20/13","Erigeron brewerii var. brewerii","finishing bloom",2
"N132","LCP","8/1/13","Erigeron brewerii var. brewerii","not blooming",0
"N132","AJR","6/14/14","Erigeron brewerii var. brewerii","not blooming",0
"N132","LTC","6/25/14","Erigeron brewerii var. brewerii","not blooming",0
"N132","KK","7/4/14","Erigeron brewerii var. brewerii","not blooming",0
"N132","LCP","7/14/14","Erigeron brewerii var. brewerii","beginning to bloom to bloom",1
"N133","LCP/KAK","6/18/14","Erigeron brewerii var. brewerii","not blooming",0
"N133","KK","7/7/14","Erigeron brewerii var. brewerii","not blooming",0
"N133","LCP","7/10/14","Erigeron brewerii var. brewerii","beginning to bloom to bloom",2
"N133","LTC","7/18/14","Erigeron brewerii var. brewerii","finishing bloom",2
