"NetPan","Site","SampleRound","Date","StartTime","EndTime","TempStart","TempEnd","WindStart","WindEnd","SkyStart","SkyEnd","Collector","NetNumber","Year"
"net","P33",3,"7/18/13","10:00:00","10:40:00",22.1,26.4,0.5,0.3,"clear","clear","GH",2,2013
"net","P33",3,"7/18/13","10:50:00","11:30:00",27.2,30.4,0.3,0.6,"clear","clear","GH",3,2013
"pan","P33",3,"7/18/13","9:05:00","1:35:00",21.6,31.4,0.3,0.7,"clear","clear","GH",NA,2013
"net","P33",4,"7/29/13","9:00:00","10:00:00",18.7,22.2,0.3,1.5,"clear","clear","CRP",1,2013
"net","P33",4,"7/29/13","10:30:00","11:25:00",19.8,21,1.5,2,"partly cloudy","partly cloudy","CRP",2,2013
"net","P33",4,"7/29/13","12:00:00","1:00:00",22.5,25,2,1.5,"partly cloudy","partly cloudy","CRP",3,2013
"pan","P33",4,"7/29/13","8:45:00","1:15:00",16.7,25.2,0,1.8,"clear","partly cloudy","CRP",NA,2013
"net","P37",1,"6/28/13","9:00:00","10:05:00",21.7,24.6,0.4,0.9,"clear","partly cloudy","CRP",1,2013
"net","P37",1,"6/28/13","10:20:00","11:25:00",25.2,27.2,1.1,0.9,"partly cloudy","partly cloudy","CRP",2,2013
"net","P37",1,"6/28/13","11:40:00","12:50:00",27.1,28.4,0.3,0.5,"partly cloudy","partly cloudy","CRP",3,2013
"pan","P37",1,"6/28/13","9:00:00","1:30:00",21.7,28.4,0.4,0.5,"clear","partly cloudy","CRP",NA,2013
"net","P37",2,"7/13/13","10:15:00","10:55:00",19.8,25.7,1,0.7,"clear","clear","LCP",1,2013
"net","P37",2,"7/13/13","10:55:00","11:50:00",25.7,25,0.7,1.2,"clear","clear","LCP",2,2013
"net","P37",2,"7/13/13","11:50:00","12:30:00",25,26.8,1.2,0.6,"clear","clear","LCP",3,2013
"pan","P37",2,"7/13/13","9:55:00","3:25:00",19.8,25.6,1,0.7,"clear","clear","LCP",NA,2013
"net","P37",3,"7/19/13","9:35:00","10:11:00",26.8,28.9,0.3,0.3,"clear","clear","GH",1,2013
"net","P37",3,"7/19/13","10:25:00","11:04:00",29.3,29.9,0.3,0.3,"clear","clear","GH",2,2013
"net","P37",3,"7/19/13","11:22:00","12:00:00",30.2,30.9,0.4,0.4,"clear","clear","GH",3,2013
"pan","P37",3,"7/19/13","9:20:00","1:50:00",26.6,31.3,0.3,1,"clear","clear","GH",NA,2013
"net","P37",4,"7/30/13","8:58:00","9:30:00",17.4,19.2,0.3,0.4,"clear","clear","GH",1,2013
"net","P37",4,"7/30/13","9:50:00","10:24:00",21.2,23.7,0.6,0.3,"clear","clear","GH",2,2013
"net","P37",4,"7/30/13","11:18:00","11:53:00",27.8,29.2,0.3,0.5,"partly cloudy","partly cloudy","GH",3,2013
"pan","P37",4,"7/30/13","8:40:00","1:10:00",16.5,27.4,0.3,0.5,"clear","partly cloudy","GH",NA,2013
"net","P43",1,"6/28/13","8:45:00","9:20:00",15.9,24.3,0,0,"clear","clear","LCP",1,2013
"net","P43",1,"6/28/13","9:20:00","10:00:00",23,24.6,0,0.4,"clear","clear","LCP",2,2013
"net","P43",1,"6/28/13","10:00:00","10:35:00",23,26.4,0,0.2,"clear","clear","LCP",3,2013
"pan","P43",1,"6/28/13","8:45:00","1:15:00",15.9,29.6,0,0.7,"clear","clear","LCP",NA,2013
"net","P43",2,"7/13/13","9:35:00","10:10:00",17.4,17.5,0,0,"clear","clear","TS",1,2013
"net","P43",2,"7/13/13","11:00:00","11:45:00",20.9,22.1,0.5,1.4,"clear","clear","TS",2,2013
"net","P43",2,"7/13/13","12:30:00","1:10:00",25.6,24.3,0.5,0,"clear","clear","TS",3,2013
"pan","P43",2,"7/13/13","9:30:00","2:00:00",16.4,26,0,1,"clear","clear","SR",NA,2013
"net","P43",3,"7/17/13","9:10:00","9:43:00",18.1,20.6,0,0.4,"clear","clear","GH",1,2013
"net","P43",3,"7/17/13","9:50:00","10:23:00",20.7,24.9,0,0.3,"clear","clear","GH",2,2013
"net","P43",3,"7/17/13","10:50:00","11:32:00",24.9,28.5,0.3,0,"clear","clear","GH",3,2013
"pan","P43",3,"7/17/13","9:05:00","1:35:00",17.4,29.6,0,0.4,"clear","clear","GH",NA,2013
"net","P43",4,"7/30/13","9:15:00","9:45:00",16.4,20,0,0,"clear","clear","CRP",1,2013
"net","P43",4,"7/30/13","10:10:00","10:40:00",22,20.6,0,0.9,"clear","clear","CRP",2,2013
"net","P43",4,"7/30/13","10:45:00","11:15:00",21,23.5,1.2,0.8,"clear","partly cloudy","CRP",3,2013
"pan","P43",4,"7/30/13","9:15:00","1:45:00",16.4,23,0,1.8,"clear","partly cloudy","CRP",NA,2013
"net","W04",1,"6/30/13","9:30:00","10:25:00",27.6,27.2,0.6,0.7,"clear","clear","CRP",1,2013
"net","W04",1,"6/30/13","10:30:00","11:15:00",26.5,27.5,0.6,1,"clear","clear","CRP",2,2013
"net","W04",1,"6/30/13","11:20:00","12:00:00",28,28.1,0.9,1.5,"clear","clear","CRP",3,2013
"pan","W04",1,"6/30/13","9:30:00","1:30:00",27.6,28.1,0.6,1.5,"clear","clear","CRP",NA,2013
"net","W04",2,"7/14/13","8:45:00","9:45:00",19.7,26.8,0.6,0.4,"clear","clear","LCP",1,2013
"net","W04",2,"7/14/13","9:45:00","11:00:00",26.8,29.8,0.4,1.2,"clear","clear","LCP",2,2013
"net","W04",2,"7/14/13","10:30:00","12:30:00",29.8,26.7,1.2,1.1,"clear","clear","LCP",3,2013
"pan","W04",2,"7/14/13","8:30:00","1:00:00",19.7,25.1,0.6,2.1,"clear","clear","LCP",NA,2013
"net","W04",3,"7/20/13","8:42:00","9:27:00",26.3,30.9,0,0,"clear","clear","GH",1,2013
"net","W04",3,"7/20/13","9:40:00","10:18:00",30.3,30.1,0.3,0.4,"clear","clear","GH",2,2013
"net","W04",3,"7/20/13","10:43:00","11:19:00",30.4,31.9,0.3,0.3,"clear","partly cloudy","GH",3,2013
"pan","W04",3,"7/20/13","8:23:00","12:53:00",21.4,32.4,0,0.3,"clear","partly cloudy","GH",NA,2013
"net","W04",4,"8/1/13","8:50:00","9:27:00",21.2,24.1,0.3,0.8,"clear","clear","GH",1,2013
"net","W04",4,"8/1/13","9:45:00","10:23:00",23.8,28.9,0.5,0.5,"clear","clear","GH",2,2013
"net","W04",4,"8/1/13","11:03:00","11:40:00",27.8,29.4,0.4,0.6,"clear","clear","GH",3,2013
"pan","W04",4,"8/1/13","8:31:00","1:01:00",17,30.7,0.3,0.3,"clear","clear","GH",NA,2013
"pan","L21",1,"6/12/14","9:15","1:40",18.5,22.2,0.7,0.7,"clear","clear","LKM",NA,2014
"net","L21",1,"6/12/14","10:05","11:30",19,22,0.8,1.1,"clear","clear","LKM",1,2014
"net","L21",1,"6/12/14","11:30","12:27",22,20,1.1,1.3,"clear","clear","LKM",2,2014
"net","L21",1,"6/12/14","12:27","1:40",20,22.2,1.3,0.7,"clear","clear","LKM",3,2014
"pan","L21",2,"6/22/14","9:10","1:40",17.2,23.2,0.4,1.2,"clear","clear","LCP/EK",NA,2014
"net","L21",2,"6/22/14","9:30","11:00",17.2,20.2,0.4,0.6,"clear","clear","LCP/EK",1,2014
"net","L21",2,"6/22/14","9:30","10:52",17.2,20.2,0.4,0.6,"clear","clear","LCP/EK",2,2014
"net","L21",2,"6/22/14","11:25","12:10",19.9,21.3,1.4,0.8,"clear","clear","LCP/EK",3,2014
"pan","L21",3,"7/3/14","9:20","1:33",19.4,27.5,0.3,0.3,"clear","clear","KD",NA,2014
"net","L21",3,"7/3/14","9:50","10:55",19.4,24,1.3,0.4,"clear","clear","KD",1,2014
"net","L21",3,"7/3/14","11:20","12:18",24,28.5,0.4,0,"clear","clear","KD",2,2014
"net","L21",3,"7/3/14","12:45","1:35",26.8,25.7,1.2,1.4,"clear","clear","KD",3,2014
"pan","L21",5,"7/1/14","9:09","1:33",22.5,27.3,0,2,"clear","clear","KD/MV",NA,2014
"net","L21",5,"7/1/14","9:30","10:33",23.9,22.3,0.8,0,"clear","clear","KD/MV",1,2014
"net","L21",5,"7/1/14","9:40","10:46",22.9,22.3,0.8,0,"clear","clear","KD/MV",2,2014
"net","L21",5,"7/1/14","10:50","11:29",24.3,29.4,1.3,0,"clear","clear","KD/MV",3,2014
"pan","L21",4,"7/13/14","9:01","1:22",23.5,30.9,0.2,0.9,"clear","clear","KC",NA,2014
"net","L21",4,"7/13/14","9:27","10:35",23.8,27,0.1,1.2,"clear","clear","KC",1,2014
"net","L21",4,"7/13/14","10:48","11:59",26.3,27,2.1,1.8,"clear","clear","KC",2,2014
"net","L21",4,"7/13/14","12:20","1:10",27,30.9,0.8,0.9,"clear","clear","KC",3,2014
"pan","L24",1,"6/13/14","9:11","1:40",16.5,20,0.5,0.9,"clear","clear","LKM",NA,2014
"net","L24",1,"6/13/14","9:35","10:35",16.5,16.7,0.5,0.9,"clear","clear","LKM",1,2014
"net","L24",1,"6/13/14","10:35","11:45",16.7,17.9,0.9,0.6,"clear","clear","LKM",2,2014
"net","L24",1,"6/13/14","11:45","12:53",17.9,0.6,0.6,0.7,"clear","clear","LKM",3,2014
"pan","L24",2,"6/23/14","9:05","1:35",17.5,25,0.6,1.1,"clear","clear","LCP/EK",NA,2014
"net","L24",2,"6/23/14","9:30","10:39",17.5,23.9,0.6,0.7,"clear","clear","LCP/EK",1,2014
"net","L24",2,"6/23/14","9:30","10:45",17.5,23.7,0.6,0.7,"clear","clear","LCP/EK",2,2014
"net","L24",2,"6/23/14","11:10","11:50",21.4,22.5,0.7,1,"clear","clear","LCP/EK",3,2014
"pan","L24",3,"7/2/14","8:40","1:26",21.3,31.3,0.5,3.8,"clear","clear","KD/MV",NA,2014
"net","L24",3,"7/2/14","9:00","9:48",22.3,20.8,0,0.2,"clear","clear","KD/MV",1,2014
"net","L24",3,"7/2/14","9:00","9:48",22.3,20.8,0,0.2,"clear","clear","KD/MV",2,2014
"net","L24",3,"7/2/14","10:20","10:20",20.9,25,0,1.6,"clear","clear","KD/MV",3,2014
"pan","L24",4,"7/13/14","8:47","1:17",25,27.8,0.7,0.4,"clear","clear","LTC",NA,2014
"net","L24",4,"7/13/14","9:20","10:26",25.4,26.5,0.8,0.8,"clear","clear","LTC",1,2014
"net","L24",4,"7/13/14","10:30","11:25",26.5,23.6,0.8,0.4,"clear","clear","LTC",2,2014
"net","L24",4,"7/13/14","11:30","12:25",24,24.6,0.4,0.9,"clear","clear","LTC",3,2014
"pan","L33",1,"6/13/14","8:30","12:30",13.9,29.8,1.1,0.7,"clear","clear","AJR",NA,2014
"net","L33",1,"6/13/14","8:40","9:14",14.6,15.6,0.8,0.3,"clear","clear","AJR",1,2014
"net","L33",1,"6/13/14","9:20","10:09",15.6,21.2,0.3,1,"clear","clear","AJR",2,2014
"net","L33",1,"6/13/14","10:23","11:08",21.2,22.2,1,0.9,"clear","clear","AJR",3,2014
"pan","L33",2,"6/23/14","8:27","12:57",18.3,23.3,0.3,1.7,"clear","clear","LTC",NA,2014
"net","L33",2,"6/23/14","9:27","10:06",20.7,21.1,0.6,0.9,"partly cloudy","partly cloudy","LTC",1,2014
"net","L33",2,"6/23/14","10:15","10:50",21.2,21.2,1,1.2,"partly cloudy","partly cloudy","LTC",2,2014
"net","L33",2,"6/23/14","11:03","11:43",21,22.1,1,1.7,"partly cloudy","clear","LTC",3,2014
"pan","L33",3,"7/3/14","8:20","12:50",18.6,26,0.6,1.2,"clear","clear","KK",NA,2014
"net","L33",3,"7/3/14","9:00","9:33",21.7,22.5,0.7,0.7,"clear","clear","KK",1,2014
"net","L33",3,"7/3/14","9:44","10:23",21.6,22.7,1.4,1.5,"clear","clear","KK",2,2014
"net","L33",3,"7/3/14","10:26","11:02",23,24.3,1.5,0.8,"clear","clear","KK",3,2014
"pan","L33",4,"7/13/14","8:05","12:35",16.9,28.3,0,0.6,"clear","clear","KK",NA,2014
"net","L33",4,"7/13/14","8:30","9:06",18.3,21,0,0.4,"clear","clear","KK",1,2014
"net","L33",4,"7/13/14","9:10","9:52",21.9,24.9,0.3,0.6,"clear","clear","KK",2,2014
"net","L33",4,"7/13/14","9:55","10:35",26.1,26.2,0.7,0.8,"clear","clear","KK",3,2014
"pan","L35",1,"6/12/14","8:45","1:15",19.1,25.1,0.8,0.8,"clear","clear","LTC",NA,2014
"net","L35",1,"6/12/14","9:17","10:04",19,22.6,2,0.8,"clear","clear","LTC",1,2014
"net","L35",1,"6/12/14","10:23","11:07",22.7,22.3,0.8,1.3,"clear","clear","LTC",2,2014
"net","L35",1,"6/12/14","11:18","11:50",22.3,22.7,1.3,1,"clear","clear","LTC",3,2014
"pan","L35",2,"6/22/14","8:45","1:15",16.6,21.6,0.4,2.2,"clear","clear","KK",NA,2014
"net","L35",2,"6/22/14","9:40","10:12",21.1,21.4,0.4,0.3,"clear","clear","KK",1,2014
"net","L35",2,"6/22/14","10:16","10:54",21.2,24,0.3,0.6,"clear","clear","KK",2,2014
"net","L35",2,"6/22/14","11:09","11:50",22.2,21.6,1.2,1.3,"clear","clear","KK",3,2014
"pan","L35",3,"7/3/14","8:25","12:55",17.8,30.5,0,1.8,"clear","clear","MV",NA,2014
"net","L35",3,"7/3/14","8:42","9:17",19.1,21.1,0.1,1.4,"clear","clear","MV",1,2014
"net","L35",3,"7/3/14","9:30","10:07",21.1,22.5,0.8,0.6,"clear","clear","MV",2,2014
"net","L35",3,"7/3/14","10:18","10:51",22.9,23.1,0.7,0.1,"clear","clear","MV",3,2014
"pan","L35",4,"7/13/14","8:20","1:00",18.3,30.8,0,1.7,"clear","clear","LCP",NA,2014
"net","L35",4,"7/13/14","8:45","9:20",18.3,26.5,0,0,"clear","clear","LCP",1,2014
"net","L35",4,"7/13/14","9:20","10:09",26.5,28.3,0,0.5,"clear","clear","LCP",2,2014
"net","L35",4,"7/13/14","10:09","11:00",28.3,29.9,0.5,0.8,"clear","clear","LCP",3,2014
"pan","N131",1,"6/14/14","9:05","1:35",14.6,19.5,0.8,1.3,"clear","clear","LCP",NA,2014
"net","N131",1,"6/14/14","9:30","10:10",14.6,17.2,0.8,0.8,"clear","clear","LCP",1,2014
"net","N131",1,"6/14/14","10:10","10:50",17.2,20.9,0.8,1,"clear","clear","LCP",2,2014
"net","N131",1,"6/14/14","11:15","10:05",18.3,19.6,1.1,0.9,"clear","clear","LCP",3,2014
"pan","N131",2,"6/25/14","8:55","1:25",18.5,22.5,0,2.5,"clear","clear","KK",NA,2014
"net","N131",2,"6/25/14","9:16","9:52",19.5,19.9,0,0.6,"clear","clear","KK",1,2014
"net","N131",2,"6/25/14","10:05","10:43",21.4,22.4,0.4,1.2,"clear","clear","KK",2,2014
"net","N131",2,"6/25/14","10:55","11:30",22.3,22.2,1,1.3,"clear","clear","KK",3,2014
"pan","N131",3,"7/4/14","8:55","1:35",20.8,25.5,0.6,1.1,"clear","clear","KD/MV",NA,2014
"net","N131",3,"7/4/14","9:05","9:56",22.4,21.2,0.4,0.8,"clear","clear","KD/MV",1,2014
"net","N131",3,"7/4/14","9:05","9:49",22.4,21.2,0.4,1.9,"clear","clear","KD/MV",2,2014
"net","N131",3,"7/4/14","10:10","10:32",23.1,22.9,0.4,0.6,"clear","clear","KD/MV",3,2014
"pan","N131",4,"7/14/14","8:50","1:20",19.6,31.6,0,0.8,"clear","partly cloudy","KK",NA,2014
"net","N131",4,"7/14/14","9:08","9:53",21.3,23.8,0.2,0,"clear","clear","KK",1,2014
"net","N131",4,"7/14/14","9:57","10:43",24.1,27.4,0,1,"clear","partly cloudy","KK",2,2014
"net","N131",4,"7/14/14","10:47","11:30",27.8,29.9,0.8,0.8,"partly cloudy","partly cloudy","KK",3,2014
"pan","N132",1,"6/14/14","9:00","1:00",14.5,19.4,0,1.2,"clear","clear","AJR",NA,2014
"net","N132",1,"6/14/14","9:10","9:47",14.5,17.8,0,0.7,"clear","clear","AJR",1,2014
"net","N132",1,"6/14/14","9:53","10:41",17.8,19.1,0.7,1,"clear","clear","AJR",2,2014
"net","N132",1,"6/14/14","10:49","11:38",19.1,19.8,1,0.5,"clear","clear","AJR",3,2014
"pan","N132",2,"6/25/14","8:50","1:20",17.6,22.7,0.7,2.7,"clear","clear","LTC",NA,2014
"net","N132",2,"6/25/14","9:29","10:19",18,20.8,0.9,1.9,"clear","clear","LTC",1,2014
"net","N132",2,"6/25/14","10:29","11:27",20.9,21.4,1.7,1.7,"clear","clear","LTC",2,2014
"net","N132",2,"6/25/14","11:30","12:14",21.4,21.8,1.7,2.7,"clear","clear","LTC",3,2014
"pan","N132",3,"7/4/14","8:35","1:05",20.3,26.3,0.6,2.1,"clear","clear","KK",NA,2014
"net","N132",3,"7/4/14","9:00","9:30",21.5,23.8,0.8,0.6,"clear","clear","KK",1,2014
"net","N132",3,"7/4/14","9:36","10:12",23.4,23.7,0.4,1.6,"clear","clear","KK",2,2014
"net","N132",3,"7/4/14","10:24","11:00",23.7,24.9,1.6,2.4,"clear","clear","KK",3,2014
"pan","N132",4,"7/14/14","8:25","12:55",22.7,31.9,0,0.8,"clear","partly cloudy","LCP",NA,2014
"net","N132",4,"7/14/14","8:45","9:20",22.7,27.5,0,0.5,"clear","clear","LCP",1,2014
"net","N132",4,"7/14/14","9:00","9:55",27.5,27,0.5,1.2,"clear","partly cloudy","LCP",2,2014
"net","N132",4,"7/14/14","9:55","10:35",27,28,1.2,1.6,"partly cloudy","partly cloudy","LCP",3,2014
"pan","N133",1,"6/18/14","8:35","1:05",14.7,19,0,1.2,"clear","clear","LCP/KAK",NA,2014
"net","N133",1,"6/18/14","8:55","9:45",14.7,17.4,0,0.5,"clear","clear","LCP/KAK",1,2014
"net","N133",1,"6/18/14","8:55","9:40",14.7,17.4,0,0.5,"clear","clear","LCP/KAK",2,2014
"net","N133",1,"6/18/14","9:55","10:20",18.9,17,0.5,1.1,"clear","clear","LCP/KAK",3,2014
"pan","N133",2,"7/7/14","8:45","1:15",19.2,23.7,0,0.7,"partly cloudy","bright overcast","KK",NA,2014
"net","N133",2,"7/7/14","9:00","9:40",19.8,24.1,0.5,0,"partly cloudy","partly cloudy","KK",1,2014
"net","N133",2,"7/7/14","9:42","10:20",22.7,26.1,0,0,"partly cloudy","partly cloudy","KK",2,2014
"net","N133",2,"7/7/14","10:22","11:15",25.4,25.2,0,0.6,"partly cloudy","bright overcast","KK",3,2014
"pan","N133",3,"7/10/14","8:35","1:05",20.6,25,0.6,0.8,"clear","clear","LCP",NA,2014
"net","N133",3,"7/10/14","8:45","9:30",20.6,22.7,0.6,0,"clear","clear","LCP",1,2014
"net","N133",3,"7/10/14","9:30","10:15",22.7,28.5,0,0,"clear","clear","LCP",2,2014
"net","N133",3,"7/10/14","10:30","11:25",25.5,23,0,1.8,"clear","clear","LCP",3,2014
"pan","N133",4,"7/18/14","8:35","1:05",21.7,31.7,0.9,0.8,"clear","clear","LTC",NA,2014
"net","N133",4,"7/18/14","9:02","9:50",22,25,0.7,0.7,"clear","clear","LTC",1,2014
"net","N133",4,"7/18/14","10:00","10:38",25,24.6,0.7,0.3,"clear","clear","LTC",2,2014
"net","N133",4,"7/18/14","10:45","11:38",24.7,26.1,0.3,0.4,"clear","clear","LTC",3,2014
"pan","N134",1,"6/17/14","9:00","1:30",13.7,19.2,0.6,1.2,"clear","partly cloudy","JPS",NA,2014
"net","N134",1,"6/17/14","9:15","10:00",13.7,17,0.6,1.3,"clear","clear","JPS",1,2014
"net","N134",1,"6/17/14","10:12","10:47",17,16.2,0.5,1.3,"partly cloudy","partly cloudy","JPS",2,2014
"net","N134",1,"6/17/14","10:55","11:32",16.3,19.7,1.3,1.2,"partly cloudy","partly cloudy","JPS",3,2014
"pan","N134",2,"7/6/14","8:55","1:25",20.1,23.9,0,0,"partly cloudy","bright overcast","LCP",NA,2014
"net","N134",2,"7/6/14","9:10","10:10",20.1,23.9,0,0,"partly cloudy","partly cloudy","LCP",1,2014
"net","N134",2,"7/6/14","10:10","11:05",23.9,28,0,0,"partly cloudy","partly cloudy","LCP",2,2014
"net","N134",2,"7/6/14","11:05","11:55",25,24.4,0,0,"partly cloudy","partly cloudy","LCP",3,2014
"pan","N134",3,"7/9/14","9:00","1:30",21.3,26.1,0.4,0.8,"clear","clear","KK",NA,2014
"net","N134",3,"7/9/14","9:10","10:10",21.5,25.4,0,0.4,"clear","clear","KK",1,2014
"net","N134",3,"7/9/14","10:20","11:12",25.3,25.2,0.8,0.4,"clear","clear","KK",2,2014
"net","N134",3,"7/9/14","11:17","12:12",26.1,26.4,0,1.5,"clear","clear","KK",3,2014
"pan","N134",4,"7/17/14","8:30","1:00",22.1,28,0,0.3,"clear","clear","LCP",NA,2014
"net","N134",4,"7/17/14","8:45","9:45",22.1,23,0,0.6,"clear","clear","LCP",1,2014
"net","N134",4,"7/17/14","9:45","11:00",23,24.6,0.6,0,"clear","clear","LCP",2,2014
"net","N134",4,"7/17/14","11:00","11:45",24.6,23.8,0,0.6,"clear","clear","LCP",3,2014
"pan","N135",1,"6/18/14","8:30","1:00",17.3,21,1.3,1.1,"clear","partly cloudy","LTC",NA,2014
"net","N135",1,"6/18/14","9:04","10:01",18.1,18.8,1.6,0.6,"clear","clear","LTC",1,2014
"net","N135",1,"6/18/14","10:32","11:23",18.9,18.6,0.7,1,"clear","clear","LTC",2,2014
"net","N135",1,"6/18/14","11:25","12:23",19,20.8,0.8,1,"clear","clear","LTC",3,2014
"pan","N135",2,"7/6/14","8:45","1:18",20.2,28.2,0.5,0.6,"partly cloudy","partly cloudy","KK",NA,2014
"net","N135",2,"7/6/14","9:02","9:47",22.2,24.3,0.6,0.9,"partly cloudy","partly cloudy","KK",1,2014
"net","N135",2,"7/6/14","10:00","10:40",23.5,27,1.9,0.6,"partly cloudy","partly cloudy","KK",2,2014
"net","N135",2,"7/6/14","10:50","11:27",25.6,24.5,0.8,2.6,"partly cloudy","partly cloudy","KK",3,2014
"pan","N135",3,"7/9/14","8:40","1:10",21.4,28,0.7,0.8,"clear","clear","LCP",NA,2014
"net","N135",3,"7/9/14","9:00","9:45",21.4,22.6,0.7,1.5,"clear","clear","LCP",1,2014
"net","N135",3,"7/9/14","9:45","10:30",22.6,24,1.5,1.1,"clear","clear","LCP",2,2014
"net","N135",3,"7/9/14","10:30","11:25",24,25.6,1.1,1,"clear","clear","LCP",3,2014
"pan","N135",4,"7/19/14","8:15","12:45",20.1,27.5,0,2.4,"clear","partly cloudy","LCP",NA,2014
"net","N135",4,"7/19/14","8:30","9:10",20.1,22.1,0,1.1,"clear","clear","LCP",1,2014
"net","N135",4,"7/19/14","9:10","10:05",22.1,25,1.1,1.6,"clear","clear","LCP",2,2014
"net","N135",4,"7/19/14","10:15","11:00",25,26.5,1.6,1.3,"clear","clear","LCP",3,2014
"pan","N136",1,"6/17/14","9:20","1:50",13.8,19.5,0.5,1.1,"clear","partly cloudy","LTC",NA,2014
"net","N136",1,"6/17/14","9:42","10:33",14.4,16.6,0.6,0.8,"clear","clear","LTC",1,2014
"net","N136",1,"6/17/14","10:40","11:56",17,19.1,0.8,0.5,"clear","partly cloudy","LTC",2,2014
"net","N136",1,"6/17/14","12:02","1:02",19.2,19.1,0.6,1,"partly cloudy","partly cloudy","LTC",3,2014
"pan","N136",2,"7/7/14","8:45","1:15",18.6,22,0,0,"bright overcast","bright overcast","LCP",NA,2014
"net","N136",2,"7/7/14","9:00","10:00",18.6,23.7,0,0,"bright overcast","bright overcast","LCP",1,2014
"net","N136",2,"7/7/14","10:00","11:15",23.7,20.7,0,0,"bright overcast","bright overcast","LCP",2,2014
"net","N136",2,"7/7/14","11:15","11:15",20.7,20.7,0,0,"bright overcast","bright overcast","LCP",3,2014
"pan","N136",3,"7/10/14","8:30","1:00",20.8,26.6,0,0.5,"clear","clear","KK",NA,2014
"net","N136",3,"7/10/14","9:00","9:50",21,22,0.3,0.7,"clear","clear","KK",1,2014
"net","N136",3,"7/10/14","9:56","10:40",22.7,24.1,0.6,0.7,"clear","clear","KK",2,2014
"net","N136",3,"7/10/14","10:45","11:21",24.3,25.9,0.9,1,"clear","clear","KK",3,2014
"pan","N136",4,"7/17/14","8:28","12:58",18.7,32.2,0.9,0.4,"clear","clear","LTC",NA,2014
"net","N136",4,"7/17/14","9:10","10:07",19,21.5,0,0.6,"clear","clear","LTC",1,2014
"net","N136",4,"7/17/14","10:20","11:14",21.5,29.8,0.6,0.9,"clear","clear","LTC",2,2014
"net","N136",4,"7/17/14","11:24","12:07",29.8,32.2,0.9,0.4,"clear","clear","LTC",3,2014
"pan","N137",1,"6/19/14","8:45","1:15",16.8,21.6,0,2.1,"clear","clear","LCP/KAK",NA,2014
"net","N137",1,"6/19/14","9:20","10:15",17.6,19.1,0.4,1.1,"clear","clear","LCP/KAK",1,2014
"net","N137",1,"6/19/14","9:20","10:15",17.6,19.1,0.4,1.1,"clear","clear","LCP/KAK",2,2014
"net","N137",1,"6/19/14","10:05","10:30",19.1,20,1.1,1.9,"clear","clear","LCP/KAK",3,2014
"pan","N137",2,"7/7/14","9:12","1:42",22.5,21.9,0,1.2,"partly cloudy","bright overcast","LTC",NA,2014
"net","N137",2,"7/7/14","9:30","10:16",22.6,23.9,0.3,0.3,"partly cloudy","bright overcast","LTC",1,2014
"net","N137",2,"7/7/14","10:24","11:03",24.6,22.3,0.3,0.6,"bright overcast","bright overcast","LTC",2,2014
"net","N137",2,"7/7/14","11:09","11:59",22.1,19.5,0.9,0.5,"bright overcast","bright overcast","LTC",3,2014
"pan","N137",3,"7/10/14","8:45","1:15",19.5,25.1,0.7,2.1,"clear","clear","LTC",NA,2014
"net","N137",3,"7/10/14","9:09","10:03",19.7,22.9,1.2,0.9,"clear","clear","LTC",1,2014
"net","N137",3,"7/10/14","10:19","10:58",23,23.3,0.8,1.9,"clear","clear","LTC",2,2014
"net","N137",3,"7/10/14","11:14","11:53",23.8,26,1.6,0.5,"clear","clear","LTC",3,2014
"pan","N137",4,"7/19/14","8:40","1:10",20.8,26.8,0.6,1.5,"clear","clear","LTC",NA,2014
"net","N137",4,"7/19/14","9:08","9:53",21.4,23.5,0.6,0.3,"clear","clear","LTC",1,2014
"net","N137",4,"7/19/14","10:02","10:47",23.5,28.1,0.3,0.4,"clear","clear","LTC",2,2014
"net","N137",4,"7/19/14","10:55","11:39",28.1,32.6,0.4,1.3,"clear","clear","LTC",3,2014
"pan","N139",1,"6/18/14","8:35","1:05",15.4,23,0,1.8,"clear","clear","JPS",NA,2014
"net","N139",1,"6/18/14","8:50","9:23",15.4,15.5,0,1.1,"clear","clear","JPS",1,2014
"net","N139",1,"6/18/14","9:30","10:01",15.5,16.8,1.1,1,"clear","clear","JPS",2,2014
"net","N139",1,"6/18/14","10:07","10:38",16.9,21.6,1.1,0.6,"clear","clear","JPS",3,2014
"pan","N139",2,"7/6/14","9:10","1:35",22.6,25.5,0.5,1.6,"partly cloudy","partly cloudy","LTC",NA,2014
"net","N139",2,"7/6/14","9:40","10:35",24.4,26.5,0.6,0.3,"clear","partly cloudy","LTC",1,2014
"net","N139",2,"7/6/14","10:42","11:53",26.5,25.4,0,0.4,"clear","partly cloudy","LTC",2,2014
"net","N139",2,"7/6/14","12:10","12:49",25.6,25.3,0.6,1.6,"clear","partly cloudy","LTC",3,2014
"pan","N139",3,"7/9/14","9:08","1:38",22.6,20.2,0.7,0.7,"clear","clear","LTC",NA,2014
"net","N139",3,"7/9/14","9:33","10:23",23,23.8,1,1.1,"clear","clear","LTC",1,2014
"net","N139",3,"7/9/14","10:34","11:18",24,25.5,1.4,1.7,"clear","clear","LTC",2,2014
"net","N139",3,"7/9/14","11:28","12:03",25.8,25.8,1.9,2.2,"clear","clear","LTC",3,2014
